City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,mejit,10.2753,170.8646,27.72,80,97,7.35,MH,1715473085
338,alesund,62.4723,6.1549,13.52,87,100,3.09,NO,1715473086
339,borgarnes,64.5383,-21.9206,8.03,82,100,3.82,IS,1715473087
340,pankrushikha,53.8319,80.3406,7.39,52,8,2.42,RU,1715473088
341,swanzey,42.8698,-72.2818,12.47,66,0,1.54,US,1715473090
342,altay,47.8667,88.1167,16.99,54,76,0.69,CN,1715473041
343,churapcha,62.0025,132.4325,2.76,72,98,4.28,RU,1715473092
344,pangkalanbuun,-2.6833,111.6167,25.7,95,99,0.65,ID,1715473093
345,richards bay,-28.783,32.0377,20.73,89,100,2.93,ZA,1715473094
346,ola,59.5833,151.2833,0.63,82,98,2.52,RU,1715473094
347,mugia,43.1041,-9.2179,14.39,93,86,2.17,ES,1715473095
348,hastings,50.8552,0.5729,15.85,91,33,4.31,GB,1715473096
349,bardai,11.65,7.2333,26.56,65,100,5.43,NG,1715473097
350,kormilovka,55.0026,74.1028,6.58,56,10,3.63,RU,1715473098
351,zaranj,30.9667,61.8833,19.98,32,1,6.84,AF,1715473098
352,kuressaare,58.2481,22.5039,3.3,81,49,2.06,EE,1715473099
353,keflavik,64.0049,-22.5624,8.24,93,100,5.14,IS,1715473100
354,new norfolk,-42.7826,147.0587,13.73,77,79,1.1,AU,1715473101
355,alice,27.7523,-98.0697,30.69,78,100,4.12,US,1715473102
356,prado,-17.3411,-39.2208,24.82,84,44,2.25,BR,1715473102
357,vanju-mare,44.4253,22.8697,12.07,79,65,1.72,RO,1715473103
358,kalemie,-5.9475,29.1947,22.28,85,20,1.34,CD,1715473104
359,bikenibeu village,1.3673,173.1241,29.98,74,75,2.57,KI,1715473105
360,asbestos,45.7668,-71.9324,11.98,70,71,2.99,CA,1715473105
361,semey,50.4111,80.2275,8.71,60,62,2.53,KZ,1715473106
362,chonchi,-42.6128,-73.8092,4.51,91,73,1.12,CL,1715473107
